agency,description,name,price
Azarchitecture/Jarson & Jarson,"{'Beds': '5', 'Baths': ['4', 'F', '1', '1/2'], 'Sq.Ft.': '4,553'}","221 E 14th Street,University Park Addition","$2,490,000"
Realty One Group,"{'Beds': '6', 'Baths': ['4'], 'Sq.Ft.': '5,137'}","2181 E La Vieve Lane,Circle G Ranches 4-3 Amd","$1,850,000"
Realty Executives,"{'Beds': '6', 'Baths': ['5'], 'Sq.Ft.': '3,070'}","1224 S Maple Avenue #ABC,Park Tract","$1,369,000"
Prestige Realty,"{'Beds': '5', 'Baths': ['5', 'F', '1', '1/2'], 'Sq.Ft.': '2,960'}","3924 S Kyrene Road,Coyote Crossing","$989,000"
Exp Realty,"{'Beds': '4', 'Baths': ['3'], 'Sq.Ft.': '2,798'}","2617 S Forest Avenue,Alameda Estates","$875,000"
"Balboa Realty, Llc","{'Beds': '4', 'Baths': ['2', 'F', '1', '1/2'], 'Sq.Ft.': '2,691'}","1324 E Bayview Drive,Lakes Tract E","$839,400"
Sterling Fine Properties,"{'Beds': '5', 'Baths': ['2', 'F', '1', '1/2'], 'Sq.Ft.': '2,670'}","1506 E Northshore Drive,Lakes Tract C1","$829,980"
My Home Group Real Estate,"{'Beds': '5', 'Baths': ['2', 'F', '1', '1/2'], 'Sq.Ft.': '2,895'}","1337 E Northshore Drive,The Lakes","$829,900"
"Real Broker Az, Llc","{'Beds': '4', 'Baths': ['2', 'F', '1', '1/2'], 'Sq.Ft.': '2,961'}","2140 E Golf Avenue,Shalimar Estates","$799,000"
Long Realty Jasper Associates,"{'Beds': '4', 'Baths': ['2', 'F', '1', '1/2'], 'Sq.Ft.': '2,611'}","2015 E Malibu Drive,Bradley Estates Unit 1","$790,000"
Rei Marketing,"{'Beds': '3', 'Baths': ['3', 'F', '1', '1/2'], 'Sq.Ft.': '2,486'}","539 W 6th Street,Brownstone At Hyde Park 2Nd Am","$784,000"
West Usa Realty,"{'Beds': '3', 'Baths': ['2'], 'Sq.Ft.': '1,348'}","405 W 7th Street,None","$775,000"
The Maricopa Real Estate Co,"{'Beds': '3', 'Baths': ['2'], 'Sq.Ft.': '2,378'}","20727 N La Entrada Road,Hidden Valley","$999,999"
Homesmart Premier,"{'Beds': '5', 'Baths': ['3'], 'Sq.Ft.': '3,954'}","22103 N Cline Court,Rancho El Dorado","$749,000"
The Maricopa Real Estate Co,"{'Beds': '5', 'Baths': ['4'], 'Sq.Ft.': '4,100'}","44534 W Sedona Trail,Cobblestone Farms Parcel Ii","$640,000"
Homesmart Success,"{'Beds': '4', 'Baths': ['3', 'F', '1', '1/2'], 'Sq.Ft.': '3,899'}","40693 W Bravo Drive,Rancho El Dorado Phase Iii Parcel 40/41","$630,000"
My Home Group Real Estate,"{'Beds': '6', 'Baths': ['4', 'F', '1', '1/2'], 'Sq.Ft.': '4,281'}","18235 N Tara Lane,Cottonwood Parcel 12 At Glennwilde","$630,000"
Prestige Realty,"{'Beds': '5', 'Baths': ['3'], 'Sq.Ft.': '3,955'}","42762 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado","$628,000"
Hague Partners,"{'Beds': '3', 'Baths': ['2', 'F', '1', '1/2'], 'Sq.Ft.': '2,595'}","40503 W Little Drive,Rancho El Dorado Phase Iii Parcel 39/51","$625,000"
West Usa Realty,"{'Beds': '3', 'Baths': ['2', 'F', '1', '1/2'], 'Sq.Ft.': '2,117'}","10502 N Candido Road,S19 T5s R2e","$625,000"
Richmond American Homes,"{'Beds': '3', 'Baths': ['2', 'F', '1', '1/2'], 'Sq.Ft.': '2,580'}","40931 W Desert Fairways Drive,Rancho El Dorado Phase Iii Parcel 43/48","$611,995"
Richmond American Homes,"{'Beds': '3', 'Baths': ['2', 'F', '1', '1/2'], 'Sq.Ft.': '2,500'}","22335 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48","$601,995"
The Maricopa Real Estate Co,"{'Beds': '3', 'Baths': ['2'], 'Sq.Ft.': '2,044'}","52570 W Cardinal Road,Hidden Valley Estates Unit 9","$600,000"
Rhouse Realty,"{'Beds': '5', 'Baths': ['4'], 'Sq.Ft.': '3,293'}","41823 W Sussex Drive,Glennwilde","$599,900"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '4', 'Baths': ['3'], 'Sq.Ft.': '3,549'}","16827 W Lower Buckeye Road,Metes And Bounds","$1,300,000"
Tri Pointe Homes Arizona Realty,"{'Beds': '4', 'Baths': ['4', 'F', '1', '1/2'], 'Sq.Ft.': '4,347'}","18102 W Highland Avenue,Sedella Parcel 2C","$1,235,120"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '2', 'Baths': ['2', 'F', '1', '1/2'], 'Sq.Ft.': '2,996'}","16633 W Windsor Avenue,Pebblecreek Phase 2 Unit 62B","$1,200,000"
Realty One Group,"{'Beds': '2', 'Baths': ['2', 'F', '1', '1/2'], 'Sq.Ft.': '3,039'}","3183 N 159th Avenue,Pebblecreek Phase 2 Unit 26","$1,199,000"
Pebblecreek Properties Limited,"{'Beds': '2', 'Baths': ['2', 'F', '1', '1/2'], 'Sq.Ft.': '2,816'}","3223 N 167th Drive,Pebblecreek Phase 2 Unit 49B","$1,154,744"
Trelora Realty,"{'Beds': '2', 'Baths': ['2', 'F', '1', '1/2'], 'Sq.Ft.': '2,160'}","16808 W Fairmount Avenue,Pebblecreek Phase 2 Unit 47A","$1,050,000"
Pebblecreek Properties Limited,"{'Beds': '2', 'Baths': ['2', 'F', '1', '1/2'], 'Sq.Ft.': '2,544'}","16779 W Fairmount Avenue,Pebblecreek Phase 2 Unit 47A","$1,030,791"
Pebblecreek Properties Limited,"{'Beds': '3', 'Baths': ['2', 'F', '1', '1/2'], 'Sq.Ft.': '2,395'}","16678 W Catalina Drive,Pebblecreek Phase 2 Unit 48","$1,020,920"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '5', 'Baths': ['3', 'F', '1', '1/2'], 'Sq.Ft.': '3,419'}","4428 N 185th Avenue,Sedella Parcel 4C","$990,000"
The Offer Company,"{'Beds': '6', 'Baths': ['4', 'F', '1', '1/2'], 'Sq.Ft.': '5,109'}","18372 W Monterosa Street,Sedella Parcel 4B","$970,000"
Pebblecreek Properties Limited,"{'Beds': '2', 'Baths': ['2', 'F', '1', '1/2'], 'Sq.Ft.': '2,544'}","16800 W Fairmount Avenue,Pebblecreek Phase 2 Unit 47A","$961,429"
Tri Pointe Homes Arizona Realty,"{'Beds': '4', 'Baths': ['4', 'F', '1', '1/2'], 'Sq.Ft.': '4,347'}","18112 W Meadowbrook Avenue,Sedella","$949,265"
agency,description,name,price
The Maricopa Real Estate Co,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,378'}","20727 N La Entrada Road,Hidden Valley","$999,999"
Homesmart Premier,"{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '3,954'}","22103 N Cline Court,Rancho El Dorado","$749,000"
The Maricopa Real Estate Co,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '4,100'}","44534 W Sedona Trail,Cobblestone Farms Parcel Ii","$640,000"
Homesmart Success,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,899'}","40693 W Bravo Drive,Rancho El Dorado Phase Iii Parcel 40/41","$630,000"
My Home Group Real Estate,"{'Beds': '6', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,281'}","18235 N Tara Lane,Cottonwood Parcel 12 At Glennwilde","$630,000"
Prestige Realty,"{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '3,955'}","42762 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado","$628,000"
Hague Partners,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,595'}","40503 W Little Drive,Rancho El Dorado Phase Iii Parcel 39/51","$625,000"
West Usa Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,117'}","10502 N Candido Road,S19 T5s R2e","$625,000"
Richmond American Homes,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,580'}","40931 W Desert Fairways Drive,Rancho El Dorado Phase Iii Parcel 43/48","$611,995"
Richmond American Homes,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,500'}","22335 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48","$601,995"
The Maricopa Real Estate Co,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,044'}","52570 W Cardinal Road,Hidden Valley Estates Unit 9","$600,000"
Rhouse Realty,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '3,293'}","41823 W Sussex Drive,Glennwilde","$599,900"
Azarchitecture/Jarson & Jarson,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,553'}","221 E 14th Street,University Park Addition","$2,490,000"
Realty One Group,"{'Beds': '6', 'Baths': '4', 'Sq.Ft.': '5,137'}","2181 E La Vieve Lane,Circle G Ranches 4-3 Amd","$1,850,000"
Realty Executives,"{'Beds': '6', 'Baths': '5', 'Sq.Ft.': '3,070'}","1224 S Maple Avenue #ABC,Park Tract","$1,369,000"
Prestige Realty,"{'Beds': '5', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '2,960'}","3924 S Kyrene Road,Coyote Crossing","$989,000"
Exp Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,798'}","2617 S Forest Avenue,Alameda Estates","$875,000"
"Balboa Realty, Llc","{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,691'}","1324 E Bayview Drive,Lakes Tract E","$839,400"
Sterling Fine Properties,"{'Beds': '5', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,670'}","1506 E Northshore Drive,Lakes Tract C1","$829,980"
My Home Group Real Estate,"{'Beds': '5', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,895'}","1337 E Northshore Drive,The Lakes","$829,900"
"Real Broker Az, Llc","{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,961'}","2140 E Golf Avenue,Shalimar Estates","$799,000"
Long Realty Jasper Associates,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,611'}","2015 E Malibu Drive,Bradley Estates Unit 1","$790,000"
Rei Marketing,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,486'}","539 W 6th Street,Brownstone At Hyde Park 2Nd Am","$784,000"
West Usa Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,348'}","405 W 7th Street,None","$775,000"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,549'}","16827 W Lower Buckeye Road,Metes And Bounds","$1,300,000"
Tri Pointe Homes Arizona Realty,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,347'}","18102 W Highland Avenue,Sedella Parcel 2C","$1,235,120"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,996'}","16633 W Windsor Avenue,Pebblecreek Phase 2 Unit 62B","$1,200,000"
Realty One Group,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,039'}","3183 N 159th Avenue,Pebblecreek Phase 2 Unit 26","$1,199,000"
Pebblecreek Properties Limited,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,816'}","3223 N 167th Drive,Pebblecreek Phase 2 Unit 49B","$1,154,744"
Trelora Realty,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,160'}","16808 W Fairmount Avenue,Pebblecreek Phase 2 Unit 47A","$1,050,000"
Pebblecreek Properties Limited,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,544'}","16779 W Fairmount Avenue,Pebblecreek Phase 2 Unit 47A","$1,030,791"
Pebblecreek Properties Limited,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,395'}","16678 W Catalina Drive,Pebblecreek Phase 2 Unit 48","$1,020,920"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,419'}","4428 N 185th Avenue,Sedella Parcel 4C","$990,000"
The Offer Company,"{'Beds': '6', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,109'}","18372 W Monterosa Street,Sedella Parcel 4B","$970,000"
Pebblecreek Properties Limited,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,544'}","16800 W Fairmount Avenue,Pebblecreek Phase 2 Unit 47A","$961,429"
Tri Pointe Homes Arizona Realty,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,347'}","18112 W Meadowbrook Avenue,Sedella","$949,265"
agency,description,name,price
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,549'}","16827 W Lower Buckeye Road,Metes And Bounds","$1,300,000"
Tri Pointe Homes Arizona Realty,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,347'}","18102 W Highland Avenue,Sedella Parcel 2C","$1,235,120"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,996'}","16633 W Windsor Avenue,Pebblecreek Phase 2 Unit 62B","$1,200,000"
Realty One Group,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,039'}","3183 N 159th Avenue,Pebblecreek Phase 2 Unit 26","$1,199,000"
Pebblecreek Properties Limited,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,816'}","3223 N 167th Drive,Pebblecreek Phase 2 Unit 49B","$1,154,744"
Trelora Realty,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,160'}","16808 W Fairmount Avenue,Pebblecreek Phase 2 Unit 47A","$1,050,000"
Pebblecreek Properties Limited,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,544'}","16779 W Fairmount Avenue,Pebblecreek Phase 2 Unit 47A","$1,030,791"
Pebblecreek Properties Limited,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,395'}","16678 W Catalina Drive,Pebblecreek Phase 2 Unit 48","$1,020,920"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,419'}","4428 N 185th Avenue,Sedella Parcel 4C","$990,000"
The Offer Company,"{'Beds': '6', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,109'}","18372 W Monterosa Street,Sedella Parcel 4B","$970,000"
Pebblecreek Properties Limited,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,544'}","16800 W Fairmount Avenue,Pebblecreek Phase 2 Unit 47A","$961,429"
Tri Pointe Homes Arizona Realty,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,347'}","18112 W Meadowbrook Avenue,Sedella","$949,265"
